Median_House_Value,Distance_to_coast,Tot_Rooms,Median_Age,Population,Median_Income
148300,23091.92089,2299.0,16,1245,4.2125
450000,8137.367272,3931.0,34,1717,6.2946
76100,2214.986056,1224.0,52,521,1.191
107600,7977.701159,3435.0,13,1761,3.4792
225000,49505.55235,2083.0,18,926,1.9925
64400,19931.86509,1687.0,14,762,1.6635
196400,6830.953581,1553.0,40,724,4.38
87500,3585.765695,1170.0,52,701,1.6098
159700,65729.15903,1672.0,27,757,3.6786
222100,27016.59693,1929.0,26,1067,5.4038
405400,4253.691468,2509.0,52,855,5.0731
135300,6237.233753,3326.0,30,1704,2.875
164400,23873.08995,1328.0,37,1115,4.2051
139700,17440.08077,1789.0,20,1113,2.4728
103800,19415.88426,1748.0,46,1707,2.148
458500,2972.136515,1821.0,35,727,6.5842
98800,22723.33508,2995.0,52,1392,1.7794
286100,19082.37253,2127.0,33,1056,4.375
234400,34060.84272,3250.0,21,1978,4.5
150000,28830.34499,563.0,39,682,2.75
313900,16849.35823,1532.0,16,679,5.7115
138200,42042.65371,2076.0,33,1374,2.2197
231200,7615.713114,5719.0,12,3436,5.2879
284000,18392.6368,3108.0,32,1577,4.6613
219400,6705.931939,2362.0,22,1127,3.4006
93200,17024.108,1147.0,30,1219,2.0658
218100,18412.69676,969.0,10,482,6.5799
153000,28164.02071,3672.0,52,3062,2.6806
450000,1217.568767,1446.0,30,650,3.744
352000,5502.030645,2774.0,18,1283,5.368
165800,26597.03148,1492.0,36,1041,4.0677
122300,18923.60267,4217.0,48,3298,1.9152
90300,21412.7733,481.0,28,596,1.2396
183400,4242.369709,2733.0,35,1814,4.4187
416700,15531.04631,2601.0,38,870,7.1134
274800,22187.0475,3654.0,22,1565,6.2748
186600,18825.41145,1032.0,45,363,3.6389
126000,29057.63023,1807.0,41,1699,2.2222
205300,16974.06638,1768.0,17,1079,1.7823
335000,3445.892252,622.0,35,278,3.6969
85700,55357.15184,637.0,50,590,1.9659
132800,5309.059492,2046.0,17,1585,2.25
302600,114229.8889,3567.0,8,1133,5.3733
111400,60123.65655,1327.0,36,613,3.8672
214500,40055.62052,2191.0,23,959,4.1993
308600,4800.379091,2688.0,36,1064,4.4583
224300,28861.75473,2864.0,25,1745,2.9167
283300,3748.213074,2126.0,20,1112,3.625
92700,53510.53262,2084.0,43,912,2.9769
263800,7850.990135,4324.0,23,1844,3.0777
204200,41756.46432,2938.0,33,1519,4.5594
146800,3636.592274,2687.0,16,1502,3.75
334400,3181.083374,1390.0,36,683,4.8906
220000,19371.23539,1443.0,23,1264,2.7543
233500,58633.54684,2788.0,28,1140,5.3368
241200,32000.57598,3773.0,20,1965,5.4939
169100,61381.36396,2337.0,37,948,3.145
136700,25959.08893,1478.0,34,1735,1.8875
184800,4406.566009,3846.0,5,2053,5.0473
94600,15954.87969,1481.0,44,999,1.5147
138200,75822.65112,2627.0,25,1059,3.6382
237500,4595.14988,854.0,39,389,3.125
300000,14351.0187,3008.0,22,1224,3.2149
183700,22737.91933,1557.0,52,1580,2.3277
85800,69675.81473,2238.0,19,1190,2.0714
81300,71788.58294,1762.0,26,855,1.6767
128600,18398.71262,1319.0,52,898,2.7727
241000,33908.81816,3671.0,20,1944,6.0538
150700,12008.79423,2145.0,23,1360,4.2054
162600,20798.64884,2554.0,31,1507,3.8
129200,4123.949812,1158.0,41,1209,2.7813
109100,9249.383728,2448.0,36,1268,2.5682
220800,12275.45382,1260.0,30,707,2.892
140200,58102.8954,2629.0,16,1265,4.5066
193100,46785.18767,4905.0,15,2711,5.7021
231300,14107.23384,1984.0,33,1119,3.4821
108100,62353.88404,2483.0,37,1072,3.0721
131300,91092.42677,729.0,17,431,4.2188
164400,86286.67669,3867.0,2,1275,5.4138
113600,21931.52716,2980.0,52,1128,4.061
275900,7390.969808,639.0,25,311,6.6833
131900,18229.12934,2949.0,28,4551,1.9026
121400,4651.90171,2430.0,43,1537,2.898
206800,38480.03478,3214.0,32,2316,3.7066
334500,6293.444808,1245.0,52,468,6.9322
274600,29676.68406,2298.0,52,1203,5.5291
99300,13938.19292,1401.0,35,1357,2.0917
154000,7703.085854,2431.0,33,1854,2.7019
234600,38105.81497,1937.0,29,1352,3.81
234900,3830.768673,2657.0,52,1131,4.4286
129200,8027.195547,1832.0,37,955,2.7852
104100,13661.48432,1367.0,34,1183,2.6812
166400,13185.52999,746.0,30,1048,4.1
146200,28781.38371,1073.0,28,652,2.4
373400,10959.41949,1199.0,36,485,5.0796
151500,4410.856355,864.0,8,626,4.8984
139300,10987.86571,973.0,8,663,2.724
73700,66313.26398,2074.0,35,1687,2.0885
90600,17459.12964,1331.0,52,1144,1.5326
67000,1260.221928,1592.0,34,950,2.1607
74100,10778.78792,3046.0,26,888,2.6848
156800,9580.700372,1390.0,39,1666,3.3056
331600,25441.19224,2639.0,46,938,5.0662
159400,12407.38475,1569.0,19,1035,2.9191
110400,119573.2604,1613.0,17,765,2.6827
61700,97658.30049,1277.0,31,600,1.7292
137500,27394.31449,1629.0,44,1893,2.2991
258300,80832.97023,778.0,25,340,1.7857
122500,5799.521768,1696.0,48,1481,2.0375
289500,15231.23345,2517.0,33,1158,5.0785
212600,16492.92642,1948.0,34,957,4.9777
314700,6197.296335,1433.0,52,612,4.7708
141700,40006.51599,1485.0,43,653,3.0
479700,35978.6572,4438.0,49,1650,5.1072
191700,20449.23736,2850.0,23,2249,2.6957
171600,22927.96657,2924.0,41,2751,2.1
185200,12062.1898,1739.0,30,1914,3.5551
303600,16980.20511,880.0,37,369,4.1429
361700,6963.226383,1608.0,41,676,4.6125
110700,17522.08487,2595.0,16,1046,1.7137
132900,6781.863175,2063.0,48,1054,2.2625
234500,23063.07429,4764.0,9,2077,5.1391
190600,31522.29505,904.0,47,310,3.9766
221900,59311.75788,1003.0,8,388,4.2917
222600,3703.012409,1494.0,52,1463,3.1786
101800,7320.895081,2415.0,23,1275,3.1389
140200,54513.31379,1437.0,28,724,2.725
135500,18136.22493,2173.0,46,1343,2.025
262500,12597.7259,1087.0,13,817,3.5326
259300,10680.31663,2718.0,32,1156,5.2497
139300,8479.22727,1719.0,34,1444,2.8438
260500,27531.39721,1971.0,45,1245,4.0272
156300,26112.54703,1335.0,35,1586,1.9722
273000,7805.948837,3045.0,43,1115,4.9559
166100,63642.68757,1743.0,27,697,1.6678
204600,26378.36705,1453.0,36,808,4.3839
131300,45807.55534,2933.0,39,1886,3.9224
307700,1825.286476,2018.0,52,1142,3.7083
152300,33769.58923,1495.0,26,1296,2.913
137000,12047.04563,5474.0,24,3020,4.0813
159400,8027.195547,1391.0,35,726,2.6818
195500,21228.98736,1631.0,30,788,3.3098
73500,12347.75674,2470.0,16,1170,3.5562
250000,17072.17634,4109.0,18,2103,2.325
115100,28986.57967,616.0,41,814,3.3333
405600,13846.35793,2519.0,50,1117,4.3667
143600,3385.030276,2799.0,17,2015,3.0536
158300,17382.77983,2831.0,24,1462,4.5
94200,14081.88546,1214.0,38,632,2.8438
156300,23459.40133,1584.0,26,846,3.375
348600,2053.151986,2472.0,16,965,5.137
95600,66560.37368,2321.0,13,1066,2.7652
63100,12677.9789,1190.0,17,1113,2.3571
277600,17088.02757,2306.0,16,1368,5.93
366900,8509.494714,5548.0,23,2847,4.4228
157800,48068.75792,1357.0,14,695,4.1974
167400,5888.410183,2393.0,19,1938,1.6953
161900,26065.49509,3445.0,25,2400,3.4702
117200,23103.11982,416.0,8,936,2.1154
235600,3954.970616,2084.0,16,1154,6.0102
88400,13870.222,2073.0,38,1657,1.2098
48700,117453.2399,1164.0,35,992,1.4015
443600,15957.55051,2458.0,34,1034,5.6738
108000,23456.02549,2356.0,44,1043,2.4949
115000,9741.161647,1875.0,11,1014,4.375
110000,23175.5186,1950.0,33,3707,1.7238
262100,8303.983748,2459.0,12,1054,7.1736
168300,18246.41166,1167.0,44,733,4.2083
433300,1665.100828,1757.0,38,821,4.1304
203100,21972.92885,2465.0,52,2328,2.6178
372900,29061.62595,1532.0,52,631,5.1242
160500,41679.367,3569.0,27,3339,4.1304
85800,4782.763491,2672.0,19,1298,1.9797
143800,27394.31449,859.0,26,835,1.1929
167700,31280.98389,2524.0,35,2487,2.4932
160900,13870.19279,2861.0,29,1715,2.7712
162500,4501.835357,955.0,43,585,2.3882
163600,26198.57676,1934.0,26,2059,3.6765
228600,8263.920395,2017.0,33,949,4.625
137200,24512.79959,3819.0,27,2447,3.8185
182000,21972.92885,1618.0,42,1454,3.1607
281300,8871.257485,2610.0,24,1322,3.5022
400000,2795.631716,2112.0,52,1227,3.5536
150300,46770.05437,3595.0,15,1839,2.6014
142500,12837.94347,330.0,13,822,3.4107
163000,37646.52455,1403.0,34,977,3.8409
69700,79165.76104,1646.0,29,1296,1.9423
213400,14633.56519,4166.0,35,2354,5.1775
261500,38575.33887,1784.0,52,966,3.6094
55500,118607.6293,1376.0,34,702,1.4946
376900,8377.321293,4048.0,52,1316,5.3794
163500,25048.18038,2426.0,35,2010,2.9922
168500,19382.29797,2487.0,21,1515,4.3039
134600,16933.17237,1752.0,24,910,3.3611
431600,14515.32617,3250.0,28,1328,7.4729
387800,7143.948749,3712.0,34,1521,4.8125
195600,13306.85406,1998.0,5,1185,4.3542
159500,37299.23513,1469.0,35,1285,3.9219
73400,80101.42188,1717.0,36,1054,2.4444
258100,21018.83143,1777.0,17,1235,5.4225
206500,19675.38959,4412.0,14,1656,4.3292
166800,18842.00056,2099.0,43,1276,3.1528
325000,8177.399375,1139.0,33,734,3.2708
119400,7295.180033,3263.0,22,1384,2.4708
274300,40191.47618,2065.0,42,1313,4.0179
105500,69049.14508,4371.0,15,1842,2.7797
191100,22140.68069,308.0,44,301,2.1991
223700,12437.60493,956.0,36,416,4.6429
252200,19570.52752,3498.0,23,1574,5.021
186900,27179.88322,1342.0,42,615,5.4381
234600,4255.590145,2755.0,30,1519,3.2952
179800,18363.91131,1789.0,21,2300,2.754
125900,55621.93171,1533.0,50,532,2.5417
127500,21993.05333,405.0,30,376,1.7813
240200,40149.48574,1271.0,46,573,4.9312
171400,22369.26288,3933.0,21,2219,2.4926
124000,14463.72866,2334.0,49,1334,1.89
172000,16649.55173,2899.0,13,1946,2.9875
294400,16676.11924,827.0,38,368,6.5095
214500,75362.48349,3362.0,17,1520,6.1986
201600,12508.1552,2259.0,37,1183,5.1805
162500,53361.02139,2037.0,52,811,4.3929
163300,47815.68519,2807.0,24,1653,4.8167
163100,36942.18408,2160.0,35,1694,3.8581
183200,5750.935158,3252.0,11,1814,3.2226
89500,4842.761866,1187.0,50,907,1.9479
247200,6866.274542,80.0,41,61,5.25
147500,24737.16101,2155.0,24,1158,4.7941
289400,12801.11139,1465.0,43,727,4.0781
84400,2214.986056,1455.0,48,788,0.8056
238200,22579.66033,1756.0,30,899,5.0325
229500,8741.265154,2704.0,30,1289,5.2815
244600,7340.951108,3397.0,28,1397,4.8125
225000,2005.582754,1854.0,43,1151,2.5759
250000,9207.81797,1809.0,33,808,6.86
146300,16670.34934,1065.0,39,497,4.5972
275000,8871.981589,3983.0,24,2645,3.6742
404800,7499.889414,3558.0,44,1779,3.9243
325000,32127.60957,1219.0,24,610,6.7978
328500,16990.11382,3080.0,35,1362,4.1218
219000,42044.96451,1504.0,39,718,4.625
114800,4226.277699,494.0,40,547,2.8015
265500,9075.657319,1062.0,35,1026,2.7153
357400,9125.467278,3165.0,18,1312,6.5234
179100,20698.72931,1591.0,21,904,4.8906
456300,8377.321293,1709.0,52,719,5.0463
137500,26969.77191,1128.0,37,931,2.8
114100,30220.22088,1585.0,28,1362,1.6685
191900,108470.3069,1467.0,13,688,5.2536
125900,13347.85313,2516.0,34,1317,2.2308
156800,65968.40544,1947.0,23,866,2.7181
94000,1364.194121,921.0,36,585,1.9224
230400,20642.70736,1969.0,35,950,4.875
333300,26161.55401,1408.0,22,636,1.8542
125000,15381.23093,1927.0,47,1349,1.3444
173900,21101.11376,2459.0,25,2635,2.4
324000,3212.333033,1325.0,44,669,4.4211
275000,8858.365695,57.0,12,69,5.0066
313000,36585.05406,3364.0,18,1442,6.6854
431400,17804.06677,2826.0,27,1259,5.7528
108600,13147.01193,2407.0,38,1774,1.5615
240700,7437.9004,1411.0,41,626,7.0875
180000,17809.21528,1229.0,34,1035,3.5455
126800,20328.26852,990.0,42,1167,1.4524
100800,21412.7733,1301.0,31,1952,2.1466
158900,16340.75543,1070.0,15,470,2.3062
103100,36323.18898,1393.0,19,915,1.1957
220100,15752.64758,2399.0,28,1613,3.6339
141700,25744.02261,798.0,43,1417,1.4189
207400,9157.13322,2648.0,19,1160,5.9357
301200,32616.92628,2062.0,30,1089,5.5362
86300,5214.687038,2395.0,37,2489,1.5933
335200,13886.89549,1709.0,24,892,4.9671
301100,7068.953792,3119.0,18,1395,3.9265
110200,22723.33508,1610.0,52,1025,1.2962
140100,25979.41178,3157.0,8,1758,4.412
150000,7227.643669,5329.0,9,2827,2.7374
200000,22773.29668,805.0,48,633,2.3421
287500,2261.161738,3067.0,52,2122,2.5603
267700,4503.731297,1911.0,47,697,6.2712
265300,22740.23454,2721.0,29,1602,3.337
178800,19763.11153,2713.0,21,1952,2.6959
230400,20641.72985,2332.0,36,3155,2.2612
163300,3264.741468,4798.0,15,3087,2.127
76300,69687.95603,1320.0,36,720,2.6523
185500,51756.50689,2137.0,14,1151,5.753
160700,26349.33729,1270.0,37,1092,3.5
326100,43604.71959,2415.0,36,1215,5.5418
264500,29979.23764,2080.0,21,1040,5.2887
220700,19053.11208,2786.0,17,1228,6.4211
117300,43670.56021,4031.0,21,2558,3.1641
474300,2428.514125,2496.0,33,1098,7.6685
146700,22277.32681,3536.0,16,2007,3.0
103100,95160.5742,186.0,26,102,2.5625
148000,14060.23839,1697.0,37,740,2.3804
333800,5218.069775,3592.0,24,1683,6.7247
192200,7950.739475,4112.0,28,3211,4.4539
271900,13223.58999,2276.0,5,1158,6.4321
352100,23243.04286,1156.0,46,514,4.2019
229800,20242.27009,1334.0,16,1103,3.7153
158700,3530.746613,2109.0,26,2120,2.1447
332800,27880.0845,3942.0,16,1894,5.2894
215300,4331.435091,2080.0,44,1781,3.6827
170800,36121.38822,794.0,26,709,3.175
164800,9219.896715,3856.0,6,1547,4.5481
245600,7180.881268,1073.0,39,556,4.8611
300000,3584.195393,977.0,52,412,2.125
69100,106572.5746,2083.0,27,1462,2.6439
183800,15038.21955,2535.0,21,1012,5.6177
94400,68228.07051,2476.0,19,1355,2.0625
67200,26761.26597,886.0,47,517,2.1991
73200,4389.649544,3159.0,11,1343,2.4805
271200,33393.70582,2839.0,35,1413,4.1667
233500,29917.49619,4491.0,19,2457,6.0591
175000,21813.39829,395.0,50,948,1.7546
273400,3427.357328,1958.0,48,1098,4.625
194800,17679.84033,2577.0,29,1849,4.4732
99000,18170.69302,705.0,42,739,0.9166
269700,7768.086571,919.0,52,413,4.0368
221100,19075.88067,2182.0,38,1141,4.2865
112500,2249.485926,1745.0,23,1054,0.8026
379100,6963.226383,1160.0,39,508,5.9539
225000,2727.608734,492.0,52,316,3.0865
219400,18739.93648,378.0,22,196,3.6806
103000,12116.20807,3126.0,33,2300,3.2596
116000,54166.94379,1577.0,34,880,4.6327
187200,18042.51237,1392.0,15,681,5.4248
413900,2737.669281,1364.0,23,638,5.3279
136700,6498.165922,1985.0,43,1085,3.4205
163900,43195.32369,2192.0,34,1376,3.9861
139100,5430.902386,1558.0,42,1227,2.2804
407000,8377.943651,2396.0,35,1054,6.4504
230000,1998.404543,1892.0,52,1442,4.2891
137500,54456.10066,352.0,35,184,3.6691
261100,28111.34032,3776.0,32,1790,5.4675
288300,19159.70985,3269.0,26,1427,4.2136
142000,35911.87241,1022.0,25,1570,3.023
202700,16863.07499,1458.0,35,686,3.9038
342000,5064.420494,1102.0,36,522,6.1187
126900,62297.66371,2375.0,27,863,3.0086
164800,64764.74961,337.0,2,115,3.1042
416700,4423.880661,1318.0,38,547,6.0308
190300,11442.55457,1502.0,48,590,2.5952
70200,1260.221928,1453.0,37,867,2.5536
405200,1530.57755,2820.0,42,1175,4.5083
144400,40896.42593,4813.0,18,2333,4.175
280200,5799.61381,2674.0,27,1176,5.0294
204100,82623.36873,2634.0,5,1173,6.746
230600,39893.99239,2344.0,47,1537,3.4777
137100,29830.74767,1156.0,38,1359,2.5147
144600,9912.520483,1028.0,42,1369,3.3125
384600,1799.902964,403.0,43,156,4.6667
366700,1521.470879,2075.0,30,1026,3.1635
297900,31192.46253,3252.0,13,1546,5.8243
165100,21326.31084,1558.0,34,1179,3.2188
94800,5545.592294,1685.0,40,949,1.8426
157300,36724.9599,1686.0,28,1355,2.5192
238500,20568.21222,1588.0,33,739,2.8208
136000,58219.81647,2801.0,24,2064,4.4946
133900,12152.71742,3184.0,27,1763,3.5529
238500,44417.11889,913.0,17,530,3.038
86500,5214.687038,395.0,39,620,2.725
299200,6843.020847,2535.0,52,1094,3.6591
190600,14229.29146,2912.0,34,1625,4.4667
284600,25990.71172,2322.0,43,1106,4.3631
321800,9978.201686,1526.0,10,705,5.8083
112500,26675.50222,140.0,30,103,4.163
220800,8415.911687,3182.0,20,1770,3.1912
287100,16799.55687,1955.0,30,999,4.6328
158800,13712.47083,2526.0,44,1423,2.5363
133000,72977.74481,5266.0,27,2432,3.8954
172500,21492.59702,2240.0,29,2254,2.3317
191000,29829.50725,2308.0,20,2223,4.2589
128100,11911.28656,1111.0,16,930,1.2347
114300,50799.10454,3642.0,37,1508,3.5231
162500,22140.68069,1125.0,36,966,2.8438
75900,49796.6961,4221.0,29,2294,2.2245
309600,7349.620842,3618.0,52,1508,3.2619
94100,19870.30819,3247.0,37,1737,3.066
187500,34410.94427,1547.0,30,1700,2.5488
181500,3516.117861,1291.0,30,835,5.5
136500,12511.30199,1212.0,36,775,5.5591
468000,3600.805796,5323.0,33,1670,3.9792
113600,15707.06349,4018.0,38,3702,2.9293
303900,39600.50785,2539.0,48,930,4.7269
71500,24934.51362,2124.0,22,1122,2.1793
198600,28893.57174,3531.0,36,1613,3.2359
37900,1056.635307,3150.0,45,1798,1.75
209500,11301.10533,1298.0,35,632,3.8929
453600,21813.94913,1947.0,34,841,6.1814
318600,28319.2139,5949.0,20,2593,3.8576
138200,9197.774517,2842.0,45,1261,3.6042
146400,22565.04165,5876.0,6,2877,2.5437
375900,22816.87071,5406.0,17,2337,6.0137
147400,48636.29918,2159.0,34,1443,4.1995
148700,75061.47766,5268.0,19,2357,3.9226
300000,4143.420879,1472.0,44,820,5.6826
146300,23284.17245,2474.0,32,1224,2.7216
195500,7500.798773,690.0,36,299,4.0313
181300,44519.8063,1055.0,37,538,2.4167
223700,18427.62821,2979.0,21,1824,3.5
104200,5388.596837,143.0,48,222,1.7
284600,8509.494714,1701.0,35,1428,3.725
93100,13553.8354,967.0,39,903,1.9038
217400,29676.60495,1829.0,23,1277,4.8092
95100,70251.23153,1614.0,43,926,2.075
157200,23905.2954,1407.0,24,501,2.4821
237500,7053.353028,247.0,33,167,3.7059
287500,8177.399375,3771.0,14,2355,3.1603
144800,5810.607545,2123.0,48,859,1.8523
142500,53685.4816,4255.0,30,2129,4.5185
336000,9978.201686,1534.0,37,751,5.444
190600,24387.60002,1347.0,32,1756,1.9464
246100,19216.01415,3142.0,36,1372,5.0175
82100,4216.008379,1047.0,36,651,1.712
125700,41645.52213,3727.0,14,1741,3.5625
71800,38886.5181,1321.0,27,779,1.85
175000,20924.94581,2283.0,34,3032,2.4387
97500,19104.33633,1702.0,30,1966,1.5521
175700,44174.83186,2634.0,14,1402,3.8897
87500,104489.7052,396.0,16,188,1.3889
277900,34509.31642,2267.0,15,1150,7.1267
71300,29006.01067,1006.0,34,443,2.6094
48800,87677.81008,241.0,16,152,1.375
187500,35526.59449,403.0,52,361,1.625
335300,3136.062357,3371.0,44,1738,3.1653
256300,8408.69083,2791.0,34,1276,4.9167
289100,32384.38227,2296.0,23,902,6.0298
132200,26632.14375,2631.0,37,3228,2.15
234800,17844.23487,1538.0,16,835,5.5779
152500,16365.47345,2105.0,34,973,4.3088
179600,11519.3404,2244.0,22,1543,2.6618
111900,13121.57267,1566.0,38,981,4.0234
218800,34689.86258,4164.0,28,2934,2.7483
252200,13650.21872,3937.0,10,2032,3.2617
218600,23418.97767,2315.0,28,1360,2.9861
215400,24277.11442,4534.0,24,2547,3.9575
71300,5377.371952,472.0,52,415,2.6429
172400,23476.21296,2536.0,15,1400,5.6613
159400,13038.05247,1864.0,25,1710,2.2303
353900,5366.32046,2083.0,41,993,4.0231
183300,4789.117292,1906.0,23,1029,2.93
169700,24203.91897,3271.0,36,2593,3.3621
194000,7476.065432,3013.0,43,1525,4.95
106900,7252.888956,1083.0,40,1843,2.3077
129200,48979.60069,2438.0,48,1508,2.8983
126700,8337.89558,1096.0,34,574,3.8355
177200,19746.03369,2369.0,27,927,4.1162
109900,115664.7908,2449.0,7,1217,3.6646
158800,10254.74736,2775.0,10,1581,4.1366
152900,33592.61075,3530.0,33,2959,3.7459
187500,36808.14329,407.0,52,227,1.5156
116100,9991.960418,2681.0,23,1279,2.1597
173300,17160.56469,2423.0,21,1098,2.364
204200,17830.57585,1981.0,32,1371,3.1204
62100,21503.54649,747.0,36,338,1.7885
394000,5354.97641,1849.0,52,695,6.5372
160600,9287.335862,821.0,17,436,3.1667
104600,87919.24418,2874.0,10,1960,2.7381
116400,68284.04089,5024.0,15,3208,3.6025
350000,15536.0186,1651.0,46,512,4.0179
204700,16216.83955,1139.0,35,772,4.375
375000,2432.470306,1585.0,29,1019,2.7072
169400,14612.74329,1617.0,41,1110,2.4635
197400,21553.80527,2879.0,25,2077,3.3864
72500,9986.876235,1949.0,25,602,2.7601
64900,77412.2066,851.0,52,731,1.9044
475000,2921.539235,1373.0,26,608,4.425
97500,108869.8628,4872.0,18,955,2.2439
144300,77938.00783,1257.0,16,559,4.4531
253200,30841.55011,2429.0,16,1293,5.5
195900,28562.30366,1579.0,35,1012,5.1296
375000,17734.50672,54.0,46,20,0.536
293300,30928.68018,3287.0,33,1783,3.8472
227100,29301.41901,2132.0,35,1128,5.3107
163300,11068.22601,4839.0,12,1708,2.8586
197800,5444.138872,3098.0,20,1449,3.5744
326100,26997.73332,1704.0,52,746,4.7986
136800,22299.91537,2974.0,10,1559,3.8825
311700,18143.98605,3073.0,31,1486,4.8984
137500,75998.22137,3077.0,26,1603,2.7174
154600,21710.47706,1911.0,30,2055,2.3917
200000,3425.981099,878.0,18,384,4.7344
170800,22535.90575,1270.0,38,1692,1.87
80700,4216.008379,330.0,45,282,4.0469
226800,25822.73256,2813.0,9,1144,4.0431
78800,5205.848245,365.0,35,463,2.5588
200400,3291.868029,2686.0,39,1159,2.9441
301100,12164.46468,2445.0,6,1189,3.8958
275000,3675.815935,2486.0,22,709,2.9018
92500,3456.403672,928.0,46,790,1.6806
178500,44123.77731,4518.0,18,2230,3.9309
101100,26675.50222,2434.0,24,1538,2.1067
237900,17796.13842,1421.0,42,659,3.3333
130500,16230.89081,2534.0,43,2448,2.4884
185000,6406.964684,2748.0,30,1491,4.3472
240100,5352.855907,1431.0,52,657,3.2865
310500,60528.85699,1692.0,8,857,6.9418
94600,9079.756762,1075.0,25,434,1.7472
162500,23967.00838,1184.0,36,946,4.0357
233100,40704.66799,2668.0,32,1512,2.9422
190400,10422.32893,899.0,35,455,4.2857
200300,6848.00862,1357.0,39,763,4.25
293900,31324.18076,3800.0,52,1842,5.5524
129700,4938.472375,3861.0,27,2085,3.3558
189900,24010.23931,2424.0,34,1293,3.275
164700,4334.39136,2854.0,34,1211,3.5353
447100,41507.39618,773.0,44,405,5.0
256000,9757.78753,4371.0,16,2530,4.6786
159400,18919.83253,2369.0,14,1546,3.7969
383200,8203.334511,3183.0,35,1313,5.9062
176800,35834.77787,1179.0,29,1255,2.5964
119700,10979.97213,2103.0,23,1019,2.9911
132700,18675.1672,2739.0,33,3423,2.2847
194400,22792.71935,1267.0,44,1018,2.4196
213000,8575.432317,3386.0,17,1715,3.7479
131600,4582.255796,1360.0,26,869,3.0217
339800,2414.075348,3448.0,41,1621,4.5
205600,30195.65755,1595.0,36,1105,2.4286
98700,15925.77998,3939.0,48,1257,2.1165
185700,23116.75362,2609.0,8,1803,2.7714
127900,56944.03819,3991.0,15,2317,2.9542
62000,70023.39646,1657.0,16,572,1.4767
351200,15552.77238,5077.0,26,1872,7.4713
147500,9991.960418,1605.0,28,936,2.5991
128300,18139.65985,2054.0,33,1067,3.6023
119500,66992.60388,2203.0,27,1158,2.4342
316200,4483.080966,4930.0,28,2232,4.3232
164600,21636.96572,788.0,37,883,2.6818
346200,3527.21597,3821.0,18,2831,2.9571
68300,117429.6775,1874.0,39,822,2.5038
61500,86504.41964,264.0,42,310,1.4063
165400,6429.346311,3028.0,32,2037,3.0645
199700,19335.65326,3224.0,42,1940,3.2153
155000,83733.88155,889.0,17,439,6.1426
162500,25466.3591,48.0,30,74,5.0056
416500,15481.36881,1443.0,31,627,6.6087
150400,6278.22602,1674.0,36,818,3.4773
103100,59008.67126,764.0,15,366,3.375
416100,3427.357328,2356.0,19,1291,4.2308
187700,23284.17245,4578.0,21,2818,3.1458
254000,28053.38916,1843.0,28,1402,2.462
123600,9991.960418,1221.0,26,620,2.4821
113900,62260.41711,289.0,15,191,1.6833
371500,5552.163477,2382.0,47,867,5.2598
187500,23648.79088,1237.0,42,900,3.8571
162500,4167.166363,1013.0,29,1083,1.8438
185700,9420.349042,788.0,26,346,5.0603
90600,16214.35164,325.0,19,354,2.75
260300,2123.741535,3795.0,29,2494,5.2848
354900,32598.61638,3760.0,22,1485,7.8537
87100,6338.088266,1654.0,27,1141,1.4871
186800,9625.75701,590.0,16,178,4.8611
333300,18651.45816,2732.0,43,3049,1.3157
152700,18431.42838,1880.0,22,743,2.9688
177500,2426.130681,1310.0,29,1009,1.3844
152500,21157.40638,1627.0,35,3013,1.5565
109800,6414.742808,1339.0,47,794,2.5865
134400,7221.106281,1607.0,25,899,3.8194
90400,118933.8018,817.0,32,224,3.631
226400,15988.93324,1337.0,25,671,3.1912
186300,24560.07802,1220.0,43,729,3.6442
158700,17883.08478,1215.0,36,862,3.7604
234000,3888.486691,1848.0,52,921,2.875
208100,16249.38503,3065.0,27,1840,3.6417
218800,8616.188081,4609.0,16,2147,3.375
155900,54595.88549,2256.0,5,1246,4.9236
266000,23460.88639,1933.0,36,958,4.4732
257900,32155.84445,2387.0,46,1181,3.6058
198000,50487.12552,3773.0,26,2103,4.6937
229100,4565.840487,865.0,35,602,3.0
286100,9045.423744,2144.0,21,928,5.798
307600,45029.56548,1868.0,6,750,4.3833
156300,6072.0231,3634.0,21,1985,2.9085
253300,32968.59908,1674.0,16,850,5.3157
157700,20061.28247,4880.0,24,4516,4.1387
336200,3884.204094,1362.0,44,709,4.4271
129700,28830.34499,385.0,38,402,1.625
161200,11878.6675,1408.0,41,793,2.5441
173900,18610.15446,4609.0,9,2582,4.3429
340400,3709.61267,2703.0,35,1383,4.5278
144000,52061.58422,1881.0,25,1337,2.5536
123000,3762.761208,2512.0,41,1179,2.694
293200,5248.700562,5114.0,24,3169,3.9699
214300,76523.84707,2385.0,11,682,2.9141
61000,61768.98481,3009.0,37,1513,1.4387
190400,10677.49399,1564.0,32,973,3.75
137500,66441.68163,3960.0,16,1776,3.9886
473000,4268.203741,2571.0,46,1225,6.0436
141100,7411.51691,2252.0,17,1776,4.6364
114200,65040.00981,1959.0,33,984,4.5208
157100,112245.9255,5055.0,29,410,3.5104
471300,2972.136515,2038.0,37,837,5.2416
173100,6179.238092,1885.0,36,853,4.1141
224000,32900.746,1722.0,52,1122,3.1204
382100,5648.60805,5143.0,16,2209,7.0173
75000,55855.0144,3583.0,17,1587,2.6979
255000,1186.570421,1225.0,18,694,3.6823
